202202 202201 Inquiry How was your summer vacation? 2023082820.175700
202201 202202 Reply Mine was pretty good 2023082820.185900
202202 202201 Reply That's good 2023082820.195900
T1 202201 Assignment Why didn't you do your homework? 2023082916.590700
AS1 202201 Course selection Hurry up and choose your courses 2023082922.475000
AS1 202201 Notice There is 1 new course 2023083016.125900
AS1 202202 Notice There is 1 new course 2023083016.125900
AS1 202203 Notice There is 1 new course 2023083016.125900
AS1 202204 Notice There is 1 new course 2023083016.125900
AS1 202205 Notice There is 1 new course 2023083016.125900
AS1 202206 Notice There is 1 new course 2023083016.125900
AS1 202201 Notice There are 2 new courses 2023083017.523200
AS1 202202 Notice There are 2 new courses 2023083017.523200
AS1 202203 Notice There are 2 new courses 2023083017.523200
AS1 202204 Notice There are 2 new courses 2023083017.523200
AS1 202205 Notice There are 2 new courses 2023083017.523200
AS1 202206 Notice There are 2 new courses 2023083017.523200
AS3 202201 Notice 1 course has been deleted 2023083017.583000
AS3 202202 Notice 1 course has been deleted 2023083017.583000
AS3 202203 Notice 1 course has been deleted 2023083017.583000
AS3 202204 Notice 1 course has been deleted 2023083017.583000
AS3 202205 Notice 1 course has been deleted 2023083017.583000
AS3 202206 Notice 1 course has been deleted 2023083017.583000
AS2 T1 Notice Programming course has been cancelled due to insufficient enrollment 2023083018.062600
AS2 202201 Notice 1 course has been deleted 2023083018.062600
AS2 202202 Notice 1 course has been deleted 2023083018.062600
AS2 202203 Notice 1 course has been deleted 2023083018.062600
AS2 202204 Notice 1 course has been deleted 2023083018.062600
AS2 202205 Notice 1 course has been deleted 2023083018.062600
AS2 202206 Notice 1 course has been deleted 2023083018.062600
AS1 202201 Notice There are 5 new courses 2023083018.131300
AS1 202202 Notice There are 5 new courses 2023083018.131300
AS1 202203 Notice There are 5 new courses 2023083018.131300
AS1 202204 Notice There are 5 new courses 2023083018.131300
AS1 202205 Notice There are 5 new courses 2023083018.131300
AS1 202206 Notice There are 5 new courses 2023083018.131300
AS1 T2 Notice English course has been cancelled due to insufficient enrollment 2023083018.480900
AS1 202201 Notice 1 course has been deleted 2023083018.480900
AS1 202202 Notice 1 course has been deleted 2023083018.480900
AS1 202203 Notice 1 course has been deleted 2023083018.480900
AS1 202204 Notice 1 course has been deleted 2023083018.480900
AS1 202205 Notice 1 course has been deleted 2023083018.480900
AS1 202206 Notice 1 course has been deleted 2023083018.480900
AS1 202201 Notice There is 1 new course 2023083113.205400
AS1 202202 Notice There is 1 new course 2023083113.205400
AS1 202203 Notice There is 1 new course 2023083113.205400
AS1 202204 Notice There is 1 new course 2023083113.205400
AS1 202205 Notice There is 1 new course 2023083113.205400
AS1 202206 Notice There is 1 new course 2023083113.205400
AS1 202207 Notice There is 1 new course 2023083113.205400
AS1 202208 Notice There is 1 new course 2023083113.205400
AS1 202209 Notice There is 1 new course 2023083113.205400
AS1 202210 Notice There is 1 new course 2023083113.205400
AS1 202211 Notice There is 1 new course 2023083113.205400
AS1 202212 Notice There is 1 new course 2023083113.205400
AS1 202213 Notice There is 1 new course 2023083113.205400
AS1 202214 Notice There is 1 new course 2023083113.205400
AS1 202215 Notice There is 1 new course 2023083113.205400
AS1 202216 Notice There is 1 new course 2023083113.205400
AS1 202201 Notice There is 1 new course 2023083113.255200
AS1 202202 Notice There is 1 new course 2023083113.255200
AS1 202203 Notice There is 1 new course 2023083113.255200
AS1 202204 Notice There is 1 new course 2023083113.255200
AS1 202205 Notice There is 1 new course 2023083113.255200
AS1 202206 Notice There is 1 new course 2023083113.255200
AS1 202207 Notice There is 1 new course 2023083113.255200
AS1 202208 Notice There is 1 new course 2023083113.255200
AS1 202209 Notice There is 1 new course 2023083113.255200
AS1 202210 Notice There is 1 new course 2023083113.255200
AS1 202211 Notice There is 1 new course 2023083113.255200
AS1 202212 Notice There is 1 new course 2023083113.255200
AS1 202213 Notice There is 1 new course 2023083113.255200
AS1 202214 Notice There is 1 new course 2023083113.255200
AS1 202215 Notice There is 1 new course 2023083113.255200
AS1 202216 Notice There is 1 new course 2023083113.255200
AS1 202201 Notice There is 1 new course 2023083113.440800
AS1 202202 Notice There is 1 new course 2023083113.440800
AS1 202203 Notice There is 1 new course 2023083113.440800
